2026-01-30 01:23:16 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:22 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:27 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:32 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:37 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:42 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:47 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:52 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:57 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:02 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:07 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:12 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:17 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:23 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:27 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:33 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:38 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:43 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:48 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:53 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:24:58 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:25:04 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:25:08 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:25:14 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:25:19 | esp32-stable-001 | restaurant-entrance | Unknown | Value: 0 | Capacity: 0%
